"Id","Distance.band","Distance.band.used.for.weighting","Urban.rural","Market","ISP","Technology","LLU","Headline.speed","Download.speed..Mbit.s..24.hrs","Download.speed..Mbit.s..Max","Download.speed..Mbit.s..8.10pm.weekday","Upload.speed..Mbit.s.24.hour","Upload.speed..Mbit.s.Max","Upload.speed..Mbit.s.8.10pm.weekday","DNS.resolution..ms.24.hour","DNS.failure....24.hour","DNS.resolution..ms.8.10pm.weekday","DNS.failure....8.10pm.weekday","Jitter.up..ms.24.hour","Jitter.down..ms.24.hour","Jitter.up..ms.8.10pm.weekday","Jitter.down..ms.8.10pm.weekday","Latency..ms.24.hour","Packet.loss....24.hour","Latency..ms.8.10pm.weekday","Packet.loss....8.10pm.weekday","Web.page..ms.24.hour","Web.page..ms.8.10pm.weekday","isp.weights","nat.weights"
"63",1503,"2563-5000","1992-5000","Urban",3,"BT","ADSL","Non-LLU",20,4.5179,5.0353,4.6138,0.901,1.21,0.885,29.892,0.001,30.525,0,0.886,0.421,0.823,0.415,26.91,0.002,28.405,0.002,1498.877,1447.403,1.49,0.624
"64",1523,"763-946","737-1001","Urban",3,"TalkTalk","ADSL","LLU",20,14.1707,14.8569,13.9469,0.837,0.913,0.841,33.093,0,33.385,0,4.113,9.33,4.306,9.563,20.921,0.001,21.302,0,567.13,588.188,1.41,0.1994
"65",1526,"763-946","737-1001","Urban",3,"Sky","ADSL","LLU",20,3.4955,3.5172,3.4995,0.844,0.925,0.847,29.468,0,28.818,0,0.652,0.457,0.649,0.515,30.661,0.002,30.422,0.003,1335.778,1304.035,1.15,0.2217
"66",1539,"1992-2563","","Urban",3,"Sky","ADSL","LLU",8,4.1837,4.293,4.1443,0.642,0.717,0.636,33.92,0,32.374,0,1.304,0.552,1.32,1.242,30.247,0.001,31.396,0,1166.769,1120.791,NA,0.0408
"67",1542,"2563-5000","","Rural",3,"BT","ADSL","Non-LLU",8,1.0737,1.3295,1.077,0.299,0.351,0.313,27.054,0,27.384,0,1.256,0.489,NA,NA,25.107,0,NA,NA,2606.057,2760.706,0,0.2129
"68",1565,"2563-5000","","Rural",3,"AOL","ADSL","LLU",8,2.3261,2.5193,2.2491,0.586,0.658,0.582,43.392,0,43.886,0,0.644,0.603,0.676,0.633,37.126,0.001,38.03,0.002,1722.333,1910.877,NA,0.02
"69",1571,"1367-1635","1367-1992","Urban",2,"BT","ADSL","Non-LLU",20,7.5394,8.7463,7.6382,0.959,1.027,0.961,34.103,0.001,34.39,0,0.848,0.409,0.837,0.441,33.342,0,33.571,0,751.42,717.678,0.8,0.1132
"70",1574,"1635-1992","","Urban",3,"Virgin","Cable","Cable",60,62.3803,65.4928,62.675,6.255,6.492,6.252,13.105,0,13.547,0,2.158,0.135,2.369,0.157,13.67,0.002,13.925,0,294.725,242.31,1,0.0712
"71",1583,"1143-1367","","Urban",3,"BT","FTTC","Non-LLU",40,23.6359,27.8632,23.3324,9.597,9.94,9.612,29.847,0,29.44,0,0.408,0.425,0.392,0.437,28.518,0.001,28.187,0,413.181,402.229,1,0.0568
"72",1589,"0-385","0-582","Urban",1,"BT","ADSL","Non-LLU",20,14.0669,14.4322,14.0073,0.979,1.203,0.993,21.615,0.001,21.636,0,0.853,0.387,0.796,0.393,20.472,0.001,20.617,0.002,449.214,407.06,0,0.0494
"73",1595,"0-385","","Urban",3,"Sky","FTTC","Non-LLU",40,36.0082,37.3828,35.8815,9.419,10.014,9.523,13.994,0.001,14.521,0,0.263,0.253,0.269,0.318,6.92,0.003,6.811,0.005,218.91,378.496,1,NA
"74",1599,"582-763","473-737","Urban",3,"Sky","ADSL","LLU",20,9.9436,10.0424,9.9394,0.809,0.906,0.807,28.298,0.001,27.948,0.002,0.955,0.295,0.952,0.309,24.885,0.001,24.83,0.002,700.032,761.171,0.66,0.1303
"75",1604,"1992-2563","","Urban",3,"TalkTalk","FTTC","Non-LLU",40,23.4856,30.043,23.0987,1.852,1.922,1.791,23.743,0,24.344,0,1.307,0.442,0.608,0.555,27.066,0.001,27.618,0,358.367,348.062,1,0.0343
"76",1608,"1635-1992","","Urban",3,"BT","FTTC","Non-LLU",80,72.7174,74.3595,72.5702,17.011,17.671,16.692,12.942,0.001,12.52,0.003,0.627,0.293,0.342,0.324,12.055,0.002,11.893,0.001,226.984,292.345,1,0.0239
"77",1615,"2563-5000","","Rural",3,"BT","FTTC","Non-LLU",40,23.0625,23.2211,23.0262,5.154,5.486,5.162,41.787,0.001,42.255,0,0.49,0.351,0.466,0.374,40.476,0.001,40.49,0,536.102,515.876,1,0.1806
"78",1616,"0-385","","Urban",2,"BT","FTTC","Non-LLU",80,68.7124,69.4776,68.6314,18.557,18.986,18.577,12.663,0,12.711,0,0.318,0.325,0.324,0.326,11.689,0.001,11.562,0,180.78,195.13,1,NA
"79",1635,"1367-1635","1299-1680","Urban",2,"Sky","ADSL","LLU",20,8.4598,8.6697,8.3566,0.702,0.947,0.693,35.35,0.001,34.41,0.002,1.43,0.433,1.977,0.443,34.14,0.001,34.421,0.002,854.312,895.31,0.87,0.1712
"80",1637,"385-582","","Urban",3,"Plusnet","FTTC","Non-LLU",80,71.3148,72.5509,70.6969,17.289,17.59,17.272,9.228,0,9.508,0,0.238,0.232,0.288,0.318,9.411,0.004,9.519,0.026,166.445,161.554,1,NA
"81",1653,"2563-5000","","Urban",3,"Virgin","Cable","Cable",60,48.4404,62.583,35.1463,3.271,3.477,3.261,17.446,0.001,21.019,0,3.447,0.893,4.316,2.527,18.901,0.002,23.364,0,349.247,337.435,1,0.0994
"82",1661,"2563-5000","","Rural",1,"BT","FTTC","Non-LLU",15,22.5701,25.6477,22.4931,2.137,2.455,2.164,32.728,0.001,32.884,0,0.923,0.597,0.51,1.168,31.176,0.001,33.431,0.003,461.18,482.081,0,0.0585
"83",1668,"1635-1992","","Urban",3,"BT","FTTC","Non-LLU",80,39.7672,40.1925,39.741,14.995,16.121,14.955,17.452,0,17.463,0,0.338,0.299,0.334,0.277,16.246,0.001,16.639,0,245.756,251.67,1,0.0338
"84",1670,"1992-2563","","Urban",3,"TalkTalk","FTTC","Non-LLU",80,37.8191,37.9561,37.8383,11.233,11.482,11.273,19.671,0,20.81,0,0.506,0.487,0.64,0.636,20.285,0,20.675,0,263.949,300.342,1,NA
"85",1674,"0-385","0-473","Urban",2,"Sky","ADSL","Non-LLU",20,17.7716,19.2743,17.7997,1.024,1.14,1.029,18.734,0.001,17.177,0,4.75,0.362,4.693,0.349,17.646,0.002,16.136,0.001,610.758,649.694,0.77,0.0759
"86",1678,"1992-2563","2274-5000","Rural",3,"TalkTalk","ADSL","LLU",20,3.3433,3.5447,3.3405,0.617,0.691,0.625,31.051,0.001,27.801,0,4.818,0.6,4.405,0.713,34.368,0.003,36.152,0.001,1344.955,1343.307,0.75,0.2127
