URBAN2,Nation,DL24hrmean,UL24hrmean,Latency24hr,Web24hr
3,Semi-urban,#NULL!,74.19704,0.42570588,0.01
3,Urban,Distance band 12,10.155544,0.36716667,0.98
3,Urban,Distance band 6,10.031472,0.64636842,0.02
3,Urban,#NULL!,56.404544,0.35866667,0
3,Urban,#NULL!,46.193,2.8438,0.22
3,Urban,#NULL!,52.677824,0.7009375,0.25
3,Urban,#NULL!,25.784752,0.62375,0.02
3,Urban,#NULL!,13.526432,1.99575,0.6
3,Semi-urban,#NULL!,74.330112,0.38547619,0.16
3,Urban,Distance band 5,14.363944,0.49953846,1.14
3,Urban,#NULL!,68.74128,0.50385714,0
3,Urban,#NULL!,42.252432,0.69652381,0
3,Urban,#NULL!,49.01252,0.50370588,0
3,Urban,Distance band 12,10.146128,0.414,0.38
3,Urban,#NULL!,208.383384,0.1655,0
3,Urban,Distance band 1,6.822072,0.95072727,0.07
3,Urban,#NULL!,186.349,0.37982353,0.64
3,Urban,Distance band 1,18.899264,0.4911,0
3,Urban,#NULL!,37.186008,0.59605,0.04
3,Urban,#NULL!,32.795464,0.79973684,0.39
1,Rural,#NULL!,6.205992,0.24305556,0
1,Rural,Distance band 20,6.176504,0.79515,0.04
3,Urban,#NULL!,37.213456,0.54457143,0
3,Urban,#NULL!,54.832808,0.45221053,0.03
3,Urban,#NULL!,46.575456,0.6306,0.02
3,Semi-urban,Distance band 3,12.7982,1.33881818,0.01
1,Rural,#NULL!,2.472288,1.59773333,0.48
3,Urban,#NULL!,55.705288,0.33030769,0.03
3,Urban,#NULL!,74.327192,0.27542105,0.02
3,Urban,#NULL!,37.431024,0.40333333,0.02
3,Urban,Distance band 3,4.060504,0.63265,0.14
2,Urban,#NULL!,62.318872,0.474,0
3,Urban,#NULL!,62.096552,0.58935,0
3,Urban,#NULL!,65.256848,0.33689474,0
3,Urban,#NULL!,37.437216,0.28231579,0.01
3,Urban,#NULL!,30.107248,0.98121053,0.02
3,Urban,#NULL!,16.8232,0.57390909,0.01
2,Semi-urban,Distance band 17,5.975552,0.46884615,1.42
3,Urban,#NULL!,61.604168,0.4277,0
3,Semi-urban,#NULL!,37.186864,0.50654545,0
3,Rural,Distance band 20,16.900928,0.56193333,0.02
3,Urban,#NULL!,69.662448,0.43889474,0
3,Semi-urban,#NULL!,37.21744,0.39094118,0
3,Urban,#NULL!,147.823032,0.39926316,0.08
3,Urban,#NULL!,32.67564,0.50346154,0.01
2,Semi-urban,#NULL!,37.166088,0.863125,0.15
2,Semi-urban,Distance band 19,4.529648,0.455,0.66
2,Semi-urban,#NULL!,36.293216,0.6877,0.1
3,Urban,#NULL!,62.472176,0.29342105,0
