URBAN2,Nation,DL24hrmax,UL24hrmax,Latency24hr,Web24hr
2,Rural,36.763361,9.418271895,19.5268415,505.7222965
3,Urban,36.74435317,8.45501503,22.12341515,364.953419
3,Urban,71.8531286,16.91263477,21.37614387,461.7519691
2,Semi-urban,20.0759616,1.069091773,20.0535919,811.6761187
3,Urban,37.06141819,7.653991295,19.62796879,269.9362643
2,Semi-urban,36.13552449,9.373200569,20.09090638,388.1802035
2,Rural,2.615005,0.673153609,39.08767787,1894.080201
1,Semi-urban,73.75211536,16.99119481,18.56756028,199.8505051
1,Rural,14.01575444,1.113556474,22.74204036,756.7514318
3,Urban,73.87529709,12.30497448,20.71955709,310.9983586
3,Urban,28.47506863,7.887200048,17.64634143,297.4845105
3,Urban,7.434926118,0.961349706,19.64671,947.54
3,Urban,36.55508891,9.277319346,17.40344367,241.1679422
3,Urban,58.69655362,13.77521811,17.16733929,232.1189923
3,Urban,72.19310023,18.56663255,16.81608333,239.443861
3,Semi-urban,27.86905419,5.70655852,18.53015647,528.3304168
1,Rural,44.49884985,13.12538215,21.92814203,499.7734468
3,Rural,36.29015221,5.802184437,17.86845157,233.4658802
3,Urban,72.82486804,5.041398279,21.7401046,286.4287406
3,Urban,57.22005586,18.56400311,16.80983569,381.862927
3,Urban,36.99440985,9.279048362,16.58914468,464.4835476
3,Urban,36.74706472,9.30086795,16.51029429,231.666844
3,Urban,9.198070815,0.926258398,19.34707122,812.0525924
