"","Urban.rural","Market","Download.speed..Mbit.s..24.hrs","Upload.speed..Mbit.s.24.hour","DNS.resolution..ms.24.hour","Latency..ms.24.hour","Web.page..ms.24.hour"
"236","Urban",3,53.4405,2.673,13.153,9.579,236.329
"237","Urban",1,4.2085,0.619,31.903,33.836,1006.8
"238","Urban",3,65.431,18.664,16.537,18.606,NA
"239","Rural",2,69.8082,18.688,21.158,20.279,290.675
"240","Urban",3,36.8213,8.493,29.135,25.042,337.557
"241","Urban",3,14.4713,0.836,28.674,19.172,998.034
"242","Urban",3,62.6776,17.254,NA,14.398,NA
"243","Urban",3,7.9443,1.055,20.784,17.918,901.073
"244","Urban",3,1.1001,0.515,46.005,46.156,3449.998
"245","Urban",3,72.1099,18.624,6.717,7.072,159.903
"246","Urban",3,21.2577,1.955,15.418,14.106,307.04
"247","Urban",1,12.4147,0.948,29.89,29.327,496.521
"248","",0,8.3143,0.999,18.336,5.703,1886.514
"249","Urban",3,35.0374,8.806,21.38,19.396,289.055
"250","Urban",3,53.0093,3.096,13.892,14.004,197.898
"251","Urban",3,9.5307,0.867,23.499,16.937,770.593
"252","Rural",1,12.1267,3.466,NA,25.925,NA
"253","Rural",1,2.3724,0.383,19.554,18.288,1496.257
"254","Urban",3,61.9949,3.015,17.058,13.866,229.467
"255","Urban",3,73.8518,18.595,10.081,9.008,157.784
"256","Rural",1,13.7995,0.872,27.658,26.836,750.004
"257","Urban",3,49.7969,16.276,22.118,19.211,294.397
"258","Rural",1,3.3738,0.429,42.785,41.42,1232.671
"259","Urban",3,5.3002,0.705,40.134,23.043,981.839
"260","Rural",2,1.3118,0.359,40.176,39.266,2793.894
"261","Rural",2,23.9528,3.77,26.961,25.401,371.824
"262","Urban",3,68.9189,18.449,11.566,11.593,176.989
"263","Rural",1,15.6713,1.171,38.33,37.241,515.859
"264","Urban",3,34.5164,8.473,10.372,11.155,207.242
"265","Urban",3,72.6223,18.574,14.223,13.055,207.525
"266","Urban",3,37.0745,9.35,18.586,17.923,277.371
"267","Urban",3,32.267,2.068,NA,13.172,NA
"268","Rural",1,4.5268,0.39,17.42,16.582,853.713
"269","Urban",1,17.7528,0.983,14.289,14.044,341.174
"270","Urban",3,10.0951,0.836,24.518,21.354,719.477
"271","Urban",3,37.2849,10.017,11.351,9.606,190.194
"272","Rural",0,15.6037,1.891,32.143,22.802,365.725
"273","Urban",3,66.4512,18.576,7.841,6.281,205.855
"274","Urban",3,3.1494,0.48,39.054,39.714,1351.311
"275","Urban",3,49.052,3.095,10.438,7.959,174.602
"276","Urban",3,54.1409,3.115,14.179,17.919,268.036
"277","Urban",3,52.9646,3.095,12.16,13.297,228.285
"278","Urban",3,37.1841,6.419,7.897,6.444,179.427
"279","Urban",3,66.4454,18.672,18.601,17.273,268.942
"280","Urban",3,36.9143,9.06,10.984,10.233,189.343
"281","Urban",4,16.0533,0.765,29.892,28.949,492.392
"282","Urban",2,6.8436,0.831,38.098,28.196,796.111
"283","Urban",3,70.3692,18.709,8.294,8.533,156.013
"284","Rural",3,5.6216,0.723,46.283,41.869,1297.753
"285","Rural",0,6.6974,0.424,24.948,12.986,671.686
"286","Urban",2,37.1733,9.6,19.776,16.069,262.665
