"ID","Distance.band","Urban.rural","Market","ISP","Headline.speed","Technology","Download.speed..Mbit.s..24.hour","Download.speed..Mbit.s..Max","Download.speed..Mbit.s..8.10pm.weekday","Upload.speed..Mbit.s.24.hour","Upload.speed..Mbit.s.Max","Upload.speed..Mbit.s.8.10pm.weekday","DNS.resolution..ms.24.hour","DNS.failure....24.hour","DNS.resolution..ms.8.10pm.weekday","DNS.failure....8.10pm.weekday","Jitter.up..ms.24.hour","Jitter.down..ms.24.hour","Jitter.up..ms.8.10pm.weekday","Jitter.down..ms.8.10pm.weekday","Latency..ms.24.hour","Packet.loss....24.hour","Latency..ms.8.10pm.weekday","Packet.loss....8.10pm.weekday","Web.page..ms.24.hour","Web.page..ms.8.10pm.weekday","ISP.weights","Nat.weights"
"68","1509","0-385","Urban",3,"TalkTalk","20","ADSL2+",19.381,19.711,19.346,0.864,0.923,0.864,20.694,0,20.534,0,0.865,0.379,0.875,0.458,12.576,"0.010%",12.409,"0.000%",2952.746,3060.005,0.54,0.49
"69","1520","0-385","",NA,"Plusnet","20","DSL",10.362,10.829,10.2,0.901,1.09,0.885,31.14,0.01,37.276,0,19.38,0.496,22.937,0.545,28.454,"0.060%",NA,"",1592.747,1482.029,0.66,NA
"70","1522","0-385","Urban",3,"Sky","20","ADSL2+",17.405,19.356,17.373,1.162,1.314,1.149,14.131,0.001,13.81,0,0.59,0.545,0.542,0.646,11.573,"0.100%",11.672,"0.030%",1733.704,1493.337,0.72,0.52
"71","1523","763-946","Urban",3,"TalkTalk","20","ADSL2+",14.554,14.939,14.723,0.88,0.984,0.889,36.133,0.001,35.974,0,2.863,9.657,2.92,9.656,27.55,"0.550%",27.428,"0.650%",675.693,615.002,1.36,0.84
"72","1525","763-946","Urban",2,"Orange","8","DSL",6.277,6.706,6.029,0.513,0.62,0.506,60.491,0.001,61.769,0.003,1.384,0.59,1.302,1.324,53.42,"0.100%",54.196,"0.300%",1142.162,1357.937,NA,NA
"73","1526","763-946","Urban",3,"Sky","20","ADSL2+",3.526,3.568,3.529,0.68,0.79,0.666,58.555,0.001,58.25,0,0.717,1.354,0.735,1.428,56.675,"0.850%",56.639,"0.100%",1964.669,1894.162,1.23,0.88
"74","1534","1635-1992","Urban",3,"Orange","8","DSL",1.524,1.67,1.524,0.771,0.889,0.791,17.39,0.006,17.614,0.047,0.733,0.585,0.72,0.805,10.936,"0.170%",11.393,"0.470%",2314.734,2410.999,NA,0.23
"75","1539","1992-2563","Urban",3,"Be","20","ADSL2+",4.749,4.999,4.786,0.995,1.058,0.998,25.485,0.002,24.936,0.002,0.492,0.482,0.47,0.464,21.506,"0.350%",21.315,"0.340%",1832.876,2201.017,1.03,1.55
"76","1542","2563-5000","Rural",3,"BT","8","DSL",1.753,1.882,1.748,0.356,0.471,0.361,38.511,0.002,44.125,0.002,1.501,0.664,1.564,0.598,35.238,"0.120%",35.831,"0.070%",2151.764,2330.987,0.71,1.7
"77","1550","763-946","Urban",3,"Sky","8","ADSL2+",5.943,6.063,5.924,0.68,0.781,0.68,25.724,0,25.3,0,0.91,0.51,1.179,0.605,28.728,"0.170%",28.802,"0.010%",1396.112,1321.728,NA,NA
"78","1558","582-763","Urban",3,"BT","20","DSL",13.75,14.579,13.105,0.753,0.819,0.752,37.533,0,38.403,0.002,0.773,0.549,0.711,1.167,36.912,"0.070%",38.551,"0.070%",582.09,567.352,1.1,0.45
"79","1562","1367-1635","Rural",1,"Orange","8","DSL",4.754,5.815,4.694,0.372,0.489,0.381,57.514,0.001,58.619,0,1.185,1.153,1.081,1.679,52.326,"0.580%",53.345,"0.690%",1133.185,1048.218,NA,NA
"80","1564","1367-1635","Urban",3,"Virgin","60","Cable",51.557,62.659,45.55,3.053,3.22,3.049,14.498,0,15.751,0,2.97,0.27,4.202,0.334,19.191,"0.020%",20.339,"0.010%",335.4,363.234,1,NA
"81","1565","2563-5000","Rural",3,"AOL","8","ADSL2+",2.511,2.628,2.485,0.621,0.702,0.612,47.775,0.001,47.074,0,0.639,0.598,0.699,0.728,45.047,"0.150%",45.169,"0.160%",1606.59,1788.897,NA,0.16
"82","1571","1367-1635","Urban",2,"BT","20","DSL",8.299,9.191,8.18,0.934,1.033,0.929,39.918,0.002,39.694,0.002,0.769,0.521,0.748,0.529,38.899,"0.190%",39.178,"0.540%",734.677,821.89,1.03,0.39
"83","1574","1635-1992","Urban",3,"Virgin","50","Cable",48.599,62.945,NA,3.05,3.148,NA,21.45,0.001,16.705,0,2.102,0.153,NA,NA,14.375,"0.370%",NA,"",253.919,NA,NA,NA
"84","1578","582-763","Urban",3,"Sky","20","ADSL2+",11.801,12.462,11.951,0.936,1.039,0.935,19.652,0.001,19.227,0,0.544,0.339,0.526,0.305,21.424,"0.320%",21.854,"0.180%",1614.299,1574.33,0.62,0.52
"85","1589","0-385","Urban",1,"BT","8","DSL",6.536,6.93,6.38,0.395,0.456,0.402,15.586,0,15.755,0,0.981,0.46,0.728,0.587,14.039,"0.040%",14.16,"0.000%",640.394,737.988,NA,NA
"86","1599","582-763","Urban",3,"Sky","20","ADSL2+",9.674,9.76,9.731,0.822,0.887,0.823,27.368,0.002,27.131,0,0.952,0.291,0.924,0.299,23.644,"0.090%",23.621,"0.110%",770.773,NA,0.62,0.52
"87","1610","2563-5000","Urban",3,"Sky","8","DSL",0.857,0.885,0.826,0.497,0.64,0.488,51.744,0.003,49.93,0.004,1.479,0.409,1.535,0.39,48.729,"0.270%",55.247,"0.610%",4586.939,4894.21,NA,0.4
"88","1618","2563-5000","Rural",1,"BT","8","DSL",1.86,2.302,1.852,0.416,0.524,0.419,47.997,0.003,48.128,0.012,0.738,0.502,0.708,0.572,46.739,"0.260%",46.807,"0.470%",3411.744,3560.909,NA,0.74
"89","1621","1635-1992","Urban",3,"Sky","20","ADSL2+",6.184,6.549,5.806,0.956,1.085,0.885,37.847,0.001,38.466,0.005,0.928,0.814,0.958,1.248,30.391,"0.300%",33.771,"0.550%",1414.002,1222.455,1.44,1.55
"90","1635","1367-1635","Urban",2,"Sky","20","ADSL2+",8.236,9.451,7.962,0.99,1.078,0.985,28.091,0.001,27.432,0,0.592,0.615,0.786,0.632,24.115,"0.430%",24.244,"0.210%",1245.493,1259.768,0.86,0.45
"91","1641","582-763","Urban",3,"BT","20","DSL",13.285,15.328,13.342,0.909,1,0.872,23.856,0.015,32.42,0.016,3.387,0.581,5.516,0.546,21.721,"0.830%",30.355,"1.330%",692.818,1606.197,1.1,0.45
"92","1649","385-582","Urban",1,"AAisp","20","DSL",14.774,16.202,14.055,1.132,1.337,1.117,56.251,0.001,55.262,0,0.613,0.611,0.713,0.799,40.189,"0.030%",40.787,"0.000%",603.466,682.145,NA,0.24
"93","1653","2563-5000","Urban",3,"Virgin","60","Cable",62.291,63.161,62.233,3.285,3.572,3.256,16.62,0,18.775,0,2.93,0.193,3.494,0.309,19.712,"0.040%",20.767,"0.020%",328.88,382.382,1,0.38
"94","1658","1635-1992","Urban",3,"BT","8","DSL",0.67,0.711,0.664,0.394,0.46,0.397,48.361,0.002,49.692,0.007,0.811,1.197,0.787,1.3,47.383,"0.120%",NA,"",5361.894,6274.765,1.89,0.91
"95","1674","0-385","Urban",2,"Sky","20","ADSL2+",18.335,20.273,18.61,1.083,1.211,1.104,40.976,0.004,33.059,0,9.854,0.416,4.599,0.428,38.949,"0.620%",33.692,"0.060%",1007.322,681.785,0.72,0.23
"96","1676","385-582","Rural",1,"BT","20","DSL",12.267,13.983,12.151,0.957,1.024,0.965,28.752,0,28.9,0,0.415,0.428,0.54,0.637,28.304,"0.040%",28.688,"0.020%",517.769,492.075,NA,NA
"97","1678","1992-2563","Rural",3,"TalkTalk","20","ADSL2+",3.035,3.052,3.033,0.647,0.696,0.651,35.738,0,36.086,0,0.553,0.429,NA,NA,40.881,"0.140%",41.034,"0.000%",2379.542,2574.631,0.95,1.23
"98","1680","0-385","Rural",1,"BT","8","DSL",6.254,6.928,5.135,0.39,0.518,0.396,54.83,0,56.364,0,1.494,0.6,1.475,1.127,53.913,"0.120%",54.674,"0.140%",968.954,1108.808,NA,0.1
"99","1681","1143-1367","Urban",4,"Karoo","20","ADSL2+",7.005,10.183,7.192,1.03,1.226,1.052,13.867,0.069,14.005,NA,0.575,0.505,0.513,0.397,13.691,"4.500%",14.265,"7.330%",1143.979,958.443,1.22,NA
